# ID,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_radj,pl_radjerr1,pl_radjerr2,st_rad,st_raderr1,st_raderr2,pl_tranflag,ra,dec,st_elon,st_elat,pl_orbper
 167,        "HD 50554 b",2.3529999256e+00,4.5200001448e-02,4.5200001448e-02,5.0099998713e-01,2.9999999329e-02,2.9999999329e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1508740873e+00,2.0343243398e-01,1.8780187746e-01,1.0199999809e+00,1.9999999553e-02,1.9999999553e-02,0,1.0367843628e+02,2.4245557785e+01,1.0245531464e+02,1.3957550526e+00,1.2930000000e+03
 168,        "HD 60532 b",7.6999998093e-01,1.9999999553e-02,1.9999999553e-02,2.5999999046e-01,1.9999999553e-02,1.9999999553e-02,-3.7000000477e+00,5.6999998093e+00,5.6999998093e+00,1.2192525934e+00,2.1447711640e-01,1.9073328384e-01,2.5699999332e+00,1.1999999732e-01,1.1999999732e-01,0,1.1351325226e+02,-2.2296066284e+01,1.2046705627e+02,-4.3280029297e+01,2.0189999390e+02
 169,        "HD 60532 c",1.6000000238e+00,3.9999999106e-02,3.9999999106e-02,2.9999999329e-02,1.9999999553e-02,1.9999999553e-02,1.7980000305e+02,5.8700000763e+01,5.8700000763e+01,1.1610830646e+00,2.0627257297e-01,1.6958648166e-01,2.5699999332e+00,1.1999999732e-01,1.1999999732e-01,0,1.1351325226e+02,-2.2296066284e+01,1.2046705627e+02,-4.3280029297e+01,6.0009997559e+02
 170,        "HD 62509 b",1.6399999857e+00,2.7000001073e-01,2.7000001073e-01,1.9999999553e-02,2.9999999329e-02,2.9999999329e-02,3.5457998657e+02,9.5650001526e+01,9.5650001526e+01,1.1801798954e+00,2.3407868798e-01,1.7783157046e-01,8.3100004196e+00,9.0000003576e-02,9.0000003576e-02,0,1.1632895660e+02,2.8026199341e+01,1.1321563721e+02,6.6841878891e+00,5.8964001465e+02
 171,        "HD 63765 b",9.3999999762e-01,1.9999999553e-02,1.9999999553e-02,2.3999999464e-01,3.9999999106e-02,3.9999999106e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2433565296e+00,2.4265483871e-01,1.9754153890e-01,8.2999998331e-01,9.9999997765e-03,9.9999997765e-03,0,1.1695716095e+02,-5.4264144897e+01,1.4969459534e+02,-7.2141288757e+01,3.5800000000e+02
 172,        "HD 65216 b",1.3700000048e+00,2.9999999329e-02,2.9999999329e-02,4.0999999642e-01,5.9999998659e-02,5.9999998659e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1994150990e+00,2.2232364629e-01,1.8356016234e-01,8.7999999523e-01,9.9999997765e-03,9.9999997765e-03,0,1.1842217255e+02,-6.3647323608e+01,1.7952915955e+02,-7.7802299500e+01,6.1309997559e+02
 173,        "HD 66141 b",1.2000000477e+00,1.0000000149e-01,1.0000000149e-01,7.0000000298e-02,2.9999999329e-02,2.9999999329e-02,2.2100000381e+01,3.5000000000e+00,3.5000000000e+00,1.1215550213e+00,2.0155005320e-01,1.6007679663e-01,2.1399999619e+01,6.0000002384e-01,6.0000002384e-01,0,1.2056640625e+02,2.3345708847e+00,1.2224281311e+02,-1.7748813629e+01,4.8050000000e+02
 174,        "HD 66428 b",3.1400001049e+00,7.0000000298e-02,7.0000000298e-02,4.6999999881e-01,2.9999999329e-02,2.9999999329e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1792290233e+00,2.2891907770e-01,1.9419352817e-01,1.1299999952e+00,1.9999999553e-02,1.9999999553e-02,0,1.2086943817e+02,-1.1627089977e+00,1.2335588837e+02,-2.1098630905e+01,1.9730000000e+03
 175,        "HD 67087 c",3.8599998951e+00,4.3000000715e-01,4.3000000715e-01,7.5999999046e-01,1.7000000179e-01,2.3999999464e-01,2.5600000000e+02,2.8000000000e+01,2.5000000000e+01,1.1156655165e+00,2.2241154845e-01,1.7511429042e-01,1.5499999523e+00,3.1999999285e-01,3.1999999285e-01,0,1.2191564941e+02,3.1551319122e+01,1.1732846832e+02,1.1090120316e+01,2.3740000000e+03
 176,        "HD 68988 b",7.0000000298e-02,7.0000000298e-03,7.0000000298e-03,1.1999999732e-01,9.9999997765e-03,9.9999997765e-03,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1820333655e+00,2.1142668817e-01,1.8327083852e-01,1.1900000572e+00,1.9999999553e-02,1.9999999553e-02,0,1.2459238434e+02,6.1460723877e+01,1.1090062714e+02,4.0507942200e+01,6.2771100998e+00
 177,        "HD 69830 c",1.8600000441e-01,1.8600000441e-02,1.8600000441e-02,1.2999999523e-01,5.9999998659e-02,5.9999998659e-02,2.2100000000e+02,3.5000000000e+01,3.5000000000e+01,3.0451522745e-01,1.1754871761e-01,8.3200735726e-02,1.6341047413e+00,1.6582141563e+00,1.6582141563e+00,0,1.2459977722e+02,-1.2632173538e+01,1.3044853210e+02,-3.1342002869e+01,3.1559999466e+01
 178,        "HD 69830 d",6.2999999523e-01,6.2999999523e-02,6.2999999523e-02,7.0000000298e-02,7.0000000298e-02,7.0000000298e-02,2.2400000000e+02,6.1000000000e+01,6.1000000000e+01,3.9309554203e-01,1.5542223197e-01,1.1117060124e-01,1.5608547450e+00,1.5758574493e+00,1.5758574493e+00,0,1.2459977722e+02,-1.2632173538e+01,1.3044853210e+02,-3.1342002869e+01,1.9700000000e+02
 179,        "HD 70642 b",3.1800000668e+00,7.0000000298e-02,7.0000000298e-02,2.9999999329e-02,3.9999999106e-02,3.9999999106e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1731211543e+00,2.2361463534e-01,1.7351048575e-01,1.0199999809e+00,9.9999997765e-03,9.9999997765e-03,0,1.2536723328e+02,-3.9705410004e+01,1.4417330933e+02,-5.6686290741e+01,2.0680000000e+03
 180,        "HD 72659 b",4.7500000000e+00,7.9999998212e-02,7.9999998212e-02,2.1999999881e-01,2.9999999329e-02,2.9999999329e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1546377987e+00,2.0936919347e-01,1.8260873152e-01,1.4600000381e+00,1.9999999553e-02,1.9999999553e-02,0,1.2851329041e+02,-1.5682170391e+00,1.3137199402e+02,-1.9647867203e+01,3.6580000000e+03
