#name,ra,dec,elon,tau,elat,c1s1,c1s2,c1s3,c1s4,c1s5,c1s6,c1s7,c1s8,c1s9,c1s10,c1s11,c1s12,c1s13,c2s1,c2s2,c2s3,c2s4,c2s5,c2s6,c2s7,c2s8,c2s9,c2s10,c2s11,c2s12,c2s13
        "HD 66141 b",120.56640625,2.3345708847,122.24281311,-17.748813629,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 66428 b",120.86943817,-1.1627089977,123.35588837,-21.098630905,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 67087 c",121.91564941,31.551319122,117.32846832,11.090120316,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
        "HD 68988 b",124.59238434,61.460723877,110.90062714,40.5079422,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
        "HD 69830 c",124.59977722,-12.632173538,130.4485321,-31.342002869,27.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 69830 d",124.59977722,-12.632173538,130.4485321,-31.342002869,27.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 70642 b",125.36723328,-39.705410004,144.17330933,-56.686290741,27.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 72659 b",128.51329041,-1.5682170391,131.37199402,-19.647867203,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 73267 b",129.07406616,-34.459980011,145.1260376,-50.692508698,27.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 73526 b",129.31867981,-41.319103241,150.38970947,-56.813270569,54.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 73534 b",129.81584167,12.960375786,128.80462646,-5.277616024,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 74156 b",130.60467529,4.5780968666,131.78045654,-13.167856216,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 74156 c",130.60467529,4.5780968666,131.78045654,-13.167856216,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 75784 b",133.0997467,13.23343277,131.82759094,-4.1691670418,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 75898 b",133.46168518,33.056812286,126.64138031,14.979535103,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
        "HD 77338 b",135.30206299,-25.527061462,147.35560608,-40.379653931,27.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 79498 b",138.78916931,23.375549316,134.09649658,7.0917167664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 81040 b",140.94619751,20.364454269,136.93843079,4.8369121552,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
           "4 UMa b",130.05340576,64.327934265,112.81330872,44.028064728,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
           "7 CMa b",99.17098999,-19.255878448,101.74191284,-42.32207489,27.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          "11 Com b",185.17927551,17.792867661,177.4223938,18.33376503,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
          "11 UMi b",229.27453613,71.823898315,141.6471405,74.958183289,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,3,3,0,0,0,4
          "14 And b",352.8225708,39.236198425,11.962116241,38.229938507,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
          "14 Her b",242.6013031,43.817646027,223.24873352,62.879798889,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
        "16 Cyg B b",295.46655273,50.517524719,321.2180481,69.46836853,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
          "18 Del b",314.60806274,10.839285851,320.59121704,26.786857605,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
          "24 Sex b",155.86820984,-0.90224397182,157.99359131,-10.198147774,27.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          "42 Dra b",276.49639893,65.563484192,342.26708984,87.183387756,297.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,4,4,4,4,4,0,4
          "47 UMa c",164.86656189,40.43025589,149.06985474,31.061607361,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
          "47 UMa d",164.86656189,40.43025589,149.06985474,31.061607361,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
          "55 Cnc b",133.1492157,28.330818176,127.73245239,10.367085457,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
          "55 Cnc c",133.1492157,28.330818176,127.73245239,10.367085457,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
          "55 Cnc e",133.1492157,28.330818176,127.73245239,10.367085457,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
          "55 Cnc f",133.1492157,28.330818176,127.73245239,10.367085457,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
          "61 Vir b",199.60131836,-18.311195374,205.00720215,-9.2978086472,27.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          "61 Vir c",199.60131836,-18.311195374,205.00720215,-9.2978086472,27.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          "70 Vir b",202.10754395,13.778787613,194.9708252,21.340774536,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
          "81 Cet b",39.424167633,-3.3961749077,35.893928528,-17.849554062,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          "GJ 163 b",62.315273285,-53.373699188,30.835617065,-71.166854858,81.0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          "GJ 163 c",62.315273285,-53.373699188,30.835617065,-71.166854858,81.0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          "GJ 163 d",62.315273285,-53.373699188,30.835617065,-71.166854858,81.0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          "GJ 317 b",130.24673462,-23.456289291,140.75965881,-40.070148468,27.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          "GJ 433 b",173.86228943,-32.539970398,188.90046692,-31.961933136,27.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          "GJ 436 b",175.54621887,26.706569672,164.7736969,22.627727509,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
          "GJ 581 b",229.86177063,-7.7222800255,229.5216217,10.256543159,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
          "GJ 581 c",229.86177063,-7.7222800255,229.5216217,10.256543159,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
